NAME,SMILES,Set,Obs,MW,stdMW,nTA,SCBO,RBN,nDB,nH,nN,nO,nHM,nHet,H%,C%,N%,O%,X%,nCsp3,max_conj_path,nCIR,nIR,nFR,Rbrid,NRS,nRingAtoms,nSpiro,nR05,nR06,nR10,D/DTrain06,X3,X4,X2v,X2sol,X5sol,RDCHI,Eta_betaP,Eta_C,Eta_F,Eta_FL,Eta_D_beta,nCp,nCs,nCt,nCrs,nCrt,nCrq,nCar,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCONHR,nArCONR2,nCONN,nArNHR,nRNR2,nArOR,nCR2X2,nCRX3,nArX,nPyridines,nHAcc,C-001,C-002,C-003,C-005,C-006,C-008,C-011,C-012,C-016,C-025,C-026,C-027,C-028,C-029,C-032,C-034,C-040,C-041,C-043,C-044,H-046,H-047,H-048,H-049,H-051,H-052,O-056,O-058,O-059,O-060,N-068,N-070,N-071,N-072,N-073,N-074,F-084,S-107,SsCH3,SssCH2,SdsCH,SaaCH,SsssCH,SdssC,SaasC,SaaaC,SssssC,SssNH,SsssN,SaaN,SaasN,SaaO,SsF,NssCH2,NdsCH,NaaCH,NsssCH,NdssC,NaasC,NaaaC,NssssC,NssNH,NsssN,NdsN,NaasN,NsOH,NssO,minssCH2,minaaCH,mindssC,minaasC,minssNH,minsssN,minsF,gmin,MaxsCH3,MaxssCH2,MaxdsCH,MaxaaCH,MaxsssCH,MaxdssC,MaxaasC,MaxssssC,MaxsNH2,MaxdsN,MaxaaN,MaxsOH,MaxdO,MaxssO,gmax,T(N..N),T(N..O),T(N..S),T(N..F),T(N..Cl),T(O..O),T(O..S),T(O..F),T(O..Cl),T(S..F),T(F..F),T(F..Cl),B01[C-O],B01[C-S],B01[N-N],B02[C-O],B02[C-S],B02[N-N],B02[N-O],B02[N-S],B02[O-O],B03[C-O],B03[N-N],B03[N-O],B03[N-F],B03[O-F],B03[F-F],B04[C-O],B04[N-N],B04[N-O],B04[N-S],B04[N-F],B04[O-O],B04[F-F],B05[C-O],B05[C-F],B05[N-N],B05[N-O],B05[N-F],B05[O-O],B05[O-F],B06[C-O],B06[C-S],B06[C-F],B06[N-N],B06[N-O],B06[N-F],B06[O-O],B06[O-F],B06[F-F],B07[C-N],B07[C-O],B07[C-S],B07[C-F],B07[N-O],B07[N-F],B07[O-O],B07[O-F],B08[C-N],B08[C-O],B08[C-S],B08[N-O],B08[N-F],B08[O-F],B09[C-C],B09[C-N],B09[C-O],B09[C-F],B09[N-F],B09[O-F],B10[C-C],B10[C-N],B10[C-O],B10[C-F],B10[N-F],B10[O-F],F01[C-N],F01[C-O],F01[C-S],F01[N-N],F01[N-O],F02[C-C],F02[C-N],F02[C-O],F02[C-S],F02[C-F],F02[N-N],F02[N-O],F02[N-S],F02[O-O],F02[F-F],F03[C-N],F03[C-O],F03[C-S],F03[C-F],F03[N-N],F03[N-O],F03[N-S],F03[N-F],F03[N-Cl],F03[O-O],F03[O-F],F03[F-F],F04[C-C],F04[C-N],F04[C-O],F04[C-S],F04[C-F],F04[C-Cl],F04[N-N],F04[N-O],F04[N-S],F04[N-F],F04[O-O],F04[O-S],F04[O-F],F04[F-F],F05[C-N],F05[C-O],F05[C-S],F05[C-F],F05[C-Cl],F05[N-N],F05[N-O],F05[N-F],F05[O-O],F05[O-F],F05[S-F],F05[F-F],F06[C-C],F06[C-N],F06[C-O],F06[C-S],F06[C-F],F06[C-Cl],F06[N-N],F06[N-O],F06[N-F],F06[O-O],F06[O-S],F06[O-F],F06[F-F],F07[C-N],F07[C-O],F07[C-S],F07[C-F],F07[C-Cl],F07[N-N],F07[N-O],F07[N-F],F07[O-O],F07[O-F],F07[S-F],F08[C-C],F08[C-N],F08[C-O],F08[C-S],F08[C-F],F08[C-Cl],F08[N-N],F08[N-O],F08[N-F],F08[O-O],F08[O-F],F09[C-N],F09[C-O],F09[C-S],F09[C-F],F09[C-Cl],F09[N-O],F09[N-F],F09[O-O],F09[O-F],F10[C-C],F10[C-N],F10[C-O],F10[C-S],F10[C-F],F10[C-Cl],F10[N-O],F10[N-F],F10[O-O],F10[O-F],F10[F-F],Uc,Hy,TPSA(NO),TPSA(Tot),ESOL,SAacc,SAdon,SAscore
1,O=C(NC(Nc1ccc(F)cc1)(C(F)(F)F)C(F)(F)F)c1cccnc1,Train,0,381.28,6.562804182,8,34,4,1,10,3,1,0,11,27.77777778,41.66666667,8.333333333,2.777777778,19.44444444,3,8,2,2,0,0,2,12,0,0,2,0,204.8485958,8.768890421,6.878632108,5.073235708,8.451871678,3.513160615,3.396896196,14,20.97805522,32.18822243,6.873364652,-3,2,1,0,0,0,0,11,4,2,1,0,0,0,0,0,1,0,0,0,2,1,1,11,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,6.864184906,0,-1.650591039,-2.070943837,0,-16.75023384,2.187307729,0,3.46840811,0,0,93.42168809,0,0,8,0,1,3,0,3,2,0,0,0,0,0,0,0.669423658,-1.650591039,-0.861515874,0.956023006,0,12.86999591,-5.974697421,0,0,0,1.188802649,0,-1.650591039,-0.508073035,-4.800839002,0,0,3.46840811,0,11.94684655,0,13.42528203,12,10,0,101,0,0,0,39,0,0,96,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,6,1,0,0,0,15,9,1,0,8,1,1,0,0,6,8,3,0,8,0,0,0,12,0,0,0,0,12,5,3,0,13,0,1,2,0,0,0,0,0,9,6,2,0,18,0,0,0,1,0,6,0,0,11,4,2,0,25,0,1,0,0,0,0,0,0,2,2,0,14,0,0,0,7,0,0,0,8,2,1,0,7,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,3.807354922,0.441122568,54.02,54.02,-4.605762621,182.6727508,36.02150137,3.698316784
4,CCC(NC(=O)NCc1ccccc1)(C(F)(F)F)C(F)(F)F,Train,0,328.29,6.990261951,8,26,4,1,14,2,1,0,9,38.88888889,36.11111111,5.555555556,2.777777778,16.66666667,6,6,1,1,0,0,1,6,0,0,1,0,90.26955267,6.964256268,5.635328458,4.54767771,6.908448928,2.171274454,3.087467582,7.5,20.28266527,21.58397241,4.709246716,-6.25,3,1,1,0,0,0,6,5,1,0,0,0,0,0,1,0,0,0,0,2,0,0,9,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,7,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0.706801304,-1.554624118,0,8.063583521,0,-1.541339758,0.540523904,0,-15.6022371,3.012966034,0,0,0,0,76.99566125,2,0,5,0,1,1,0,3,2,0,0,0,0,0,-1.362344262,1.570306122,-1.541339758,0.540523904,1.030303997,0,12.83261021,-5.662612198,0.706801304,-0.192279856,0,1.679548264,0,-1.541339758,0.540523904,-4.277012708,0,0,0,0,11.4619983,0,12.83261021,2,4,0,48,0,0,0,30,0,0,48,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,1,0,0,0,14,4,0,0,6,1,2,0,0,6,5,2,0,12,0,0,0,6,0,0,0,0,5,6,4,0,12,0,0,0,0,0,0,0,0,9,4,3,0,0,0,0,0,6,0,6,0,0,7,2,2,0,6,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,3,0.482816699,41.13,41.13,-4.192602442,150.927108,36.02150137,3.504698577
7,O=C(Nc1ccccc1)Nc1cc(OCC(F)(F)F)cc(OCC(F)(F)F)c1,Train,0,408.33,6.668236881,7,36,6,1,14,2,3,0,11,33.33333333,40.47619048,4.761904762,7.142857143,14.28571429,4,6,2,2,0,0,2,12,0,0,2,0,215.5424948,7.801321108,6.298155161,5.44594733,8.963145343,4.21296385,3.876411864,15.5,21.12247111,31.66278587,7.413969789,-2.75,2,0,0,0,0,0,12,8,4,0,0,0,0,0,1,0,0,2,0,2,0,0,11,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,-3.32266678,0,11.10646782,0,-0.763015952,-0.539516487,0,-9.303357652,4.743119961,0,0,0,0,73.88622958,2,0,8,0,1,4,0,2,2,0,0,0,0,2,-1.66133339,0.858889361,-0.763015952,-0.424064258,2.292960601,0,12.3143716,-4.651678826,0,-1.66133339,0,1.717076021,0,-0.763015952,0.428723047,-4.651678826,0,0,0,0,11.97486316,4.525604839,12.3143716,2,24,0,96,0,16,0,114,0,0,102,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,4,5,0,0,0,16,4,6,0,6,1,2,0,0,6,6,6,0,0,0,0,0,0,0,0,6,0,13,6,6,0,6,0,0,2,0,0,1,0,0,0,6,8,0,12,0,0,0,0,0,0,0,0,13,4,4,0,12,0,0,2,0,2,0,0,0,2,4,0,6,0,0,0,6,0,6,0,11,2,6,0,12,0,0,0,0,0,0,0,4,0,6,0,0,6,0,6,9,0,2,0,6,0,0,0,0,0,9,3.807354922,0.388359676,59.59,59.59,-5.088824276,172.9268838,36.02150137,3.426904985
9,O=C(NC1CCC(NC(=O)C(F)(F)C(F)F)CC1)C(F)(F)C(F)F,Train,0,370.28,7.221657604,10,26,4,2,14,2,2,0,12,36.84210526,31.57894737,5.263157895,5.263157895,21.05263158,10,0,1,1,0,0,1,6,0,0,1,0,94.91746032,8.8564004,4.448447169,5.342796345,6.384995879,2.548307902,3.310865915,3,24.7143864,21.09447707,4.01575393,-12.5,2,8,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,12,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,8,0,2,0,0,0,0,0,2,0,0,0,0,0,-0.292639834,0,0,-10.1748302,-4.316260655,0,0,-9.713519833,3.42604164,0,0,0,0,99.14422028,4,0,0,4,2,0,0,2,2,0,0,0,0,0,-0.073159958,0,-2.158130328,0,1.71302082,0,12.00902961,-4.856759916,0,-0.073159958,0,0,-0.911216669,-2.158130328,0,-4.856759916,0,0,0,0,11.04682763,0,12.77702546,5,18,0,96,0,9,0,112,0,0,224,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,4,2,0,0,0,10,6,2,0,12,0,2,0,0,4,6,4,0,4,0,0,0,4,0,0,4,8,10,2,4,0,4,0,0,0,0,4,0,0,4,0,0,4,0,12,0,1,0,0,0,0,0,0,6,2,2,0,16,0,0,0,0,0,0,0,0,2,0,0,12,0,0,2,0,0,0,0,2,2,2,0,4,0,0,0,4,0,0,0,2,0,4,0,0,4,1,0,2,0,2,0,8,0,0,0,0,4,0,1.584962501,0.542939254,58.2,58.2,-3.351543184,205.9922616,36.02150137,3.680423215
10,O=C(Nc1cc(C(F)(F)F)ccc1N1CCOCC1)c1c(F)c(F)c(F)c(F)c1F,Train,0,440.32,6.598026664,9,39,3,1,12,2,2,0,12,28.57142857,42.85714286,4.761904762,4.761904762,19.04761905,5,8,3,3,0,0,3,18,0,0,3,0,304.138878,11.38452491,8.815369919,6.228143239,9.351324848,5.153870227,3.782275715,14.5,26.69273229,35.7428771,7.586444479,-5.5,1,0,0,0,0,0,12,3,9,1,0,0,0,0,0,0,0,0,0,1,5,0,12,0,0,0,0,4,0,0,0,0,2,7,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,1,0,0,0,1,1,0,0,5,0,0,0.922244711,0,2.273701835,0,-1.794783399,-15.41355606,0,-4.81189613,1.834985828,1.5394941,0,0,0,106.9389119,4,0,3,0,1,9,0,1,1,1,0,0,0,1,0.228223802,0.508673942,-1.794783399,-2.46331061,1.834985828,1.5394941,13.07353045,-4.81189613,0,0.232898554,0,1.030058631,0,-1.794783399,0.058816557,-4.81189613,0,0,0,0,12.29612371,5.13144013,13.89075033,3,16,0,96,0,8,0,126,0,0,191,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,5,3,0,0,0,21,7,3,0,13,0,1,0,0,3,6,3,0,18,1,1,0,0,0,0,0,4,16,8,5,0,13,0,0,0,0,2,0,0,2,4,5,5,0,6,0,0,1,5,0,2,0,2,19,2,6,0,9,0,0,1,4,0,0,1,0,2,4,0,18,0,0,0,2,0,3,0,14,1,2,0,26,0,0,0,2,1,0,0,2,0,20,0,0,1,0,3,2,0,2,0,11,0,0,0,0,2,6,3.807354922,-0.183844355,41.57,41.57,-5.485951444,176.9607857,18.01075068,3.777593063
12,O=C(c1csnn1)N1CCC2(CC1)CN(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C2,Train,0,464.48,7.347955735,7,40.5,3,1,18,4,1,1,12,36.73469388,38.7755102,8.163265306,2.040816327,12.24489796,10,7,4,2,0,0,3,20,1,1,2,0,230.7650991,11.34215688,8.756818144,8.751462708,12.03242592,5.690420704,4.165645689,11.5,31.77310778,28.8421483,6.263311827,-9,2,2,0,2,0,1,8,3,3,1,0,0,0,1,0,0,1,0,0,2,0,0,11,0,2,0,0,5,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,13,1,0,0,4,0,1,0,0,1,0,0,1,0,0,0,1,0,3.682551814,0,3.292202917,0,-0.177383959,-2.29752684,0,-9.761556302,0,3.546160237,7.461409721,0,0,78.22802148,7,0,4,0,1,4,0,3,0,2,0,0,0,0,0.015761944,0.144534917,-0.177383959,-1.295451922,0,1.701443368,13.03800358,-4.848833411,0,0.725394463,0,1.58537637,0,-0.177383959,0.306667832,-0.063889479,0,0,3.778303636,0,12.34545933,0,13.03800358,29,16,15,276,0,0,4,78,0,90,66,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,7,1,1,1,0,26,9,1,1,6,0,1,1,0,6,7,3,1,12,1,1,0,0,0,0,0,0,18,8,2,0,12,0,1,1,1,0,0,1,0,0,7,1,2,18,0,1,0,0,0,0,0,0,17,5,2,2,0,0,0,0,6,0,0,0,9,5,0,1,12,0,0,1,0,0,0,0,12,5,1,2,6,0,1,0,0,0,0,3,1,0,12,0,0,0,0,0,5,5,2,1,12,0,0,0,0,0,0,3.700439718,-0.60728858,49.33,77.57,-5.414772307,152.6707416,0,3.956751885
13,COc1ccc(NC(=O)NC(C(F)(F)F)C(F)(F)F)cc1,Train,0,316.23,6.931931599,8,25,3,1,10,2,2,0,10,32.25806452,35.48387097,6.451612903,6.451612903,19.35483871,4,6,1,1,0,0,1,6,0,0,1,0,82.73001443,6.008220487,4.94920918,3.843201054,6.265422723,2.102686804,3.077058779,8.5,15.92526479,21.92980499,5.157360563,-5.25,2,1,0,0,0,0,6,4,2,0,0,0,0,0,1,0,0,1,0,2,0,0,10,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1.367462674,0,0,5.268273337,-3.941436707,-1.625169596,0.417422892,0,-11.28671018,2.704980946,0,0,0,0,73.40906737,0,0,4,1,1,2,0,2,2,0,0,0,0,1,0,1.258528912,-1.625169596,0.010554611,0.842693531,0,12.23484456,-5.643355088,1.367462674,0,0,1.375607757,-3.941436707,-1.625169596,0.406868281,-5.643355088,0,0,0,0,11.21720388,4.802238719,12.23484456,2,16,0,48,0,7,0,90,0,0,48,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,4,3,0,0,0,10,4,2,0,6,1,2,0,0,6,4,4,0,6,0,0,0,6,0,0,0,0,5,5,5,0,6,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,1,6,0,6,0,0,6,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,2,1,2,0,12,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,3,0.565429302,50.36,50.36,-3.767538655,161.9269959,36.02150137,3.345896643
14,Cn1nc(C(F)(F)F)c(C(=O)Nc2ccc(C(F)(F)F)cc2)c1Cl,Train,0,371.69,7.69065079,9,31.5,2,1,8,3,1,1,11,25,40.625,9.375,3.125,21.875,3,7,2,2,0,0,2,11,0,1,1,0,84.77468087,8.141080093,6.310899355,5.023029178,8.29895419,3.657917166,3.309837193,12,19.2203538,26.58121671,6.027089752,-3.75,2,0,0,0,0,0,9,4,2,1,0,0,0,0,0,0,0,0,0,2,1,0,9,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.117538105,0,0,3.20117465,0,-1.235941043,-4.032734373,0,-9.489716095,2.05946901,0,3.140671401,0.672661995,0,75.99451167,0,0,4,0,1,5,0,2,1,0,0,1,0,0,0,0.685648266,-1.235941043,-1.486655854,2.05946901,0,12.44603497,-4.918933409,1.117538105,0,0,0.914939059,0,-1.235941043,-0.124033132,-4.570782686,0,0,3.140671401,0,12.02646507,0,12.88546892,8,10,0,114,9,0,0,39,4,0,111,45,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,5,1,0,1,0,14,9,1,0,6,0,1,0,0,6,7,3,0,9,0,0,0,3,1,0,0,0,9,2,3,0,12,1,2,2,0,3,0,0,0,0,4,3,0,6,1,0,0,3,0,3,0,0,9,4,1,0,3,2,0,0,3,0,0,0,0,4,1,0,9,2,0,0,0,0,0,0,5,2,0,0,9,1,0,0,0,0,3,2,0,0,9,1,0,0,0,0,1,0,0,0,6,0,0,6,0,0,0,3.700439718,-0.095148228,46.92,46.92,-5.018272913,149.5793648,18.01075068,3.746649313
15,O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC2(CC1)CCN(c1ccccn1)CC2,Train,0,471.49,6.581146189,7,43,2,1,23,3,1,0,10,41.07142857,41.07142857,5.357142857,1.785714286,10.71428571,11,8,4,2,0,0,3,23,1,0,4,0,482.1107477,12.17853033,9.199195273,8.761741506,12.10959657,6.803641363,4.237708518,14,34.45949811,33.09288241,6.949380656,-7.75,2,4,0,4,0,1,11,3,3,1,0,0,0,1,0,0,0,0,0,2,0,1,10,0,4,0,0,4,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,14,0,1,0,8,0,1,0,0,0,0,1,1,0,0,0,0,0,5.362739206,0,8.515654361,0,-0.798730069,-2.629494019,0,-9.943784467,0,3.565570647,4.366311544,0,0,78.80397447,8,0,7,0,1,4,0,3,0,2,0,0,0,0,0.305572405,0.039038342,-0.798730069,-1.475881417,0,1.367080814,13.13399575,-4.982312975,0,0.896215754,0,1.947952393,0,-0.798730069,0.907387997,0.020841482,0,0,4.366311544,0,12.84109166,0,13.13399575,16,20,0,192,0,0,0,36,0,0,66,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,8,1,0,0,0,32,8,1,0,6,1,1,0,0,6,9,4,0,12,0,0,0,0,0,0,0,0,24,9,4,0,12,0,0,0,0,0,0,0,0,0,8,4,0,18,0,0,0,0,0,0,0,0,24,2,2,0,0,0,1,0,6,0,0,6,9,4,2,0,12,0,0,0,0,0,0,0,18,2,0,0,12,0,1,1,0,0,0,5,1,0,6,0,0,0,0,0,11,4,1,0,12,0,1,0,0,0,0,3.807354922,-0.69106939,36.44,36.44,-6.552203568,137.939764,0,3.809279769
17,CCC(=O)NC(Nc1sc2c(c1C(=O)OC)CCCC2)(C(F)(F)F)C(F)(F)F,Train,0,432.43,7.624703244,10,33.5,6,2,18,2,3,1,12,39.13043478,34.7826087,4.347826087,6.52173913,13.04347826,10,7,3,0,2,1,1,9,0,1,1,0,85.99424464,9.78892282,7.929341112,7.284023928,10.39516606,5.534419593,3.397644046,7.5,33.44635859,27.51335412,5.017579309,-10.5,3,6,0,4,0,0,4,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,11,1,5,0,1,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,9,3,0,0,4,0,0,2,0,1,0,1,0,1,0,0,0,1,2.106344794,1.509884735,0,0,0,-2.495319875,-0.087491129,0,-16.61979852,2.442078373,0,0,0,0,81.85759023,5,0,0,0,2,4,0,3,2,0,0,0,0,1,-0.596836026,0,-1.455474537,-0.63444161,1.027633929,0,13.64293171,-5.936542304,1.1215963,0.698235231,0,0,0,-1.039845338,0.522423181,-4.746713908,0,0,0,0,12.12551934,4.567239465,13.64293171,2,26,6,36,0,18,14,114,0,30,48,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,4,2,0,0,17,6,3,3,6,1,1,1,1,6,6,7,4,6,0,0,0,12,0,0,0,0,16,4,6,3,12,0,0,3,1,0,0,2,0,9,7,7,2,12,0,0,0,0,0,6,6,0,14,2,7,1,24,0,0,2,0,0,1,0,0,3,5,1,12,0,0,0,0,0,12,0,8,0,4,0,18,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0.423701776,67.43,95.67,-4.922833409,187.0719229,36.02150137,3.814528652
