NAME,SMILES,Set,Obs,stdMW,nTA,SCBO,RBN,nDB,nH,nN,nO,nHM,nHet,H%,C%,N%,O%,X%,nCsp3,max_conj_path,nCIR,nIR,nFR,NRS,nRingAtoms,nR05,nR06,nR09,nR10,D/Dtr05,D/Dtr06,X3,X4,X2v,X4v,X2sol,X5sol,RDCHI,Eta_C,Eta_F,Eta_D_beta,nCp,nCs,nCt,nCrs,nCrt,nCar,nCbH,nCb-,nCconj,nR=Cs,nRCONHR,nArCONHR,nCONN,nArNHR,nArOR,nCR2X2,nCRX3,nArX,nPyrazoles,nPyridines,nHAcc,C-001,C-002,C-003,C-005,C-006,C-008,C-011,C-012,C-016,C-025,C-026,C-027,C-028,C-029,C-032,C-033,C-034,C-040,C-041,C-043,H-046,H-047,H-048,H-049,H-051,H-052,O-056,O-058,O-060,N-067,N-070,N-072,N-073,N-074,F-084,S-107,SsCH3,SssCH2,SdsCH,SaaCH,SsssCH,SdssC,SaasC,SaaaC,SssssC,SssNH,SsssN,SaaN,SaasN,SdO,SaaO,SsF,SsCl,NssCH2,NdsCH,NaaCH,NsssCH,NdssC,NaasC,NaaaC,NssNH,NsssN,NdsN,NaasN,NsOH,NssO,minssCH2,minaaCH,mindssC,minaasC,minssNH,minsssN,minsF,gmin,MaxsCH3,MaxssCH2,MaxdsCH,MaxaaCH,MaxsssCH,MaxdssC,MaxaasC,MaxssssC,MaxsNH2,MaxdsN,MaxaaN,MaxsOH,MaxdO,MaxssO,gmax,T(N..N),T(N..O),T(N..S),T(N..F),T(N..Cl),T(O..O),T(O..S),T(O..F),T(O..Cl),T(S..F),T(F..F),T(F..Cl),B01[C-O],B01[C-S],B01[N-N],B02[C-O],B02[C-S],B02[N-N],B02[N-O],B02[N-S],B02[O-O],B03[C-O],B03[N-N],B03[N-O],B03[N-S],B03[N-F],B03[O-O],B03[O-F],B03[F-F],B04[C-O],B04[N-N],B04[N-O],B04[N-S],B04[N-F],B04[O-O],B04[O-F],B04[F-F],B05[C-O],B05[C-F],B05[N-N],B05[N-O],B05[N-F],B05[O-O],B05[O-F],B06[C-O],B06[C-S],B06[C-F],B06[N-N],B06[N-O],B06[N-F],B06[O-O],B06[O-F],B06[F-F],B07[C-N],B07[C-O],B07[C-S],B07[N-O],B07[N-F],B07[O-O],B07[O-F],B08[C-N],B08[C-O],B08[C-S],B08[C-F],B08[N-O],B08[N-F],B08[O-F],B09[C-C],B09[C-N],B09[C-O],B09[C-F],B09[N-O],B09[N-F],B09[O-F],B10[C-C],B10[C-N],B10[C-O],B10[C-F],B10[N-F],B10[O-F],F01[C-N],F01[C-O],F01[C-S],F01[N-N],F01[N-O],F02[C-C],F02[C-N],F02[C-O],F02[C-S],F02[C-F],F02[N-N],F02[N-O],F02[N-S],F02[O-O],F02[F-F],F03[C-N],F03[C-O],F03[C-S],F03[C-F],F03[C-Cl],F03[N-N],F03[N-O],F03[N-S],F03[N-F],F03[N-Cl],F03[O-O],F03[O-F],F03[F-F],F04[C-C],F04[C-N],F04[C-O],F04[C-S],F04[C-F],F04[C-Cl],F04[N-N],F04[N-O],F04[N-S],F04[N-F],F04[O-O],F04[O-S],F04[O-F],F04[F-F],F05[C-N],F05[C-O],F05[C-S],F05[C-F],F05[C-Cl],F05[N-N],F05[N-O],F05[N-F],F05[O-O],F05[O-F],F05[S-F],F05[F-F],F06[C-C],F06[C-N],F06[C-O],F06[C-S],F06[C-F],F06[C-Cl],F06[N-N],F06[N-O],F06[N-F],F06[O-O],F06[O-S],F06[O-F],F07[C-N],F07[C-O],F07[C-S],F07[C-F],F07[C-Cl],F07[N-N],F07[N-O],F07[N-F],F07[O-O],F07[O-F],F07[S-F],F08[C-C],F08[C-N],F08[C-O],F08[C-S],F08[C-F],F08[C-Cl],F08[N-N],F08[N-O],F08[N-F],F08[O-O],F08[O-F],F09[C-N],F09[C-O],F09[C-S],F09[C-F],F09[C-Cl],F09[N-O],F09[N-F],F09[O-O],F09[O-F],F10[C-C],F10[C-N],F10[C-O],F10[C-S],F10[C-F],F10[C-Cl],F10[N-O],F10[N-F],F10[O-O],F10[O-F],F10[F-F],Uc,Hy,TPSA(NO),TPSA(Tot),LOGP99,ESOL,SAacc,SAdon,Vx,SAscore
3,CC(NC(=O)NNC(=O)c1ccncc1)(C(F)(F)F)C(F)(F)F,Train,0,6.774974841,9,28,3,2,10,4,2,0,12,30.3030303,33.33333333,12.12121212,6.060606061,18.18181818,4,8,1,1,0,1,6,0,1,0,0,0,95.28792319,7.636745691,5.022672088,4.389655159,1.249751718,7.822680282,2.298053466,3.195336483,19.54150598,24.93161258,-6,3,0,1,0,0,5,0,0,1,0,0,0,1,0,0,0,2,0,0,1,12,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,2,0,2,0,3,0,2,0,0,0,3,0,0,0,0,-0.238822853,0,0,4.86869238,0,-2.839975435,-0.018792123,0,-16.06857674,3.824543336,0,3.595850954,0,22.72119323,0,75.40588725,0,0,0,4,0,2,1,0,3,0,0,0,0,0,0,1.212760889,-1.884670257,-0.018792123,0.753008472,0,12.56764788,-5.793950008,-0.238822853,0,0,1.221585301,0,-0.955305178,-0.018792123,-4.480676729,0,0,3.595850954,0,11.48270574,0,12.56764788,24,30,0,150,0,5,0,78,0,0,48,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,6,2,0,1,0,10,8,1,0,6,1,3,0,0,6,5,3,0,12,0,1,2,0,6,0,0,0,0,1,10,7,0,6,0,0,0,0,0,0,0,0,9,6,1,0,0,0,1,2,6,1,6,0,0,6,2,3,0,0,0,1,0,6,0,0,0,3,5,0,6,0,0,0,0,0,0,0,8,0,0,0,6,0,1,1,0,0,6,1,0,0,12,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,3.169925001,1.289402886,83.12,83.12,1.908900052,-2.963505474,210.6232711,53.78720782,325.0996678,3.566614067
6,O=C1Nc2c(c(=O)[nH]c(=O)n2-c2ccccc2)C(C(F)(F)F)(C(F)(F)F)N1,Train,0,6.19647117,9,36,1,4,8,4,3,0,13,22.85714286,40,11.42857143,8.571428571,17.14285714,3,6,4,1,2,2,16,0,3,0,1,0,196.8126716,9.754197783,9.432777336,5.478485146,2.783638874,9.888927745,5.325569206,3.294738895,23.46090032,35.132968,-6.5,2,0,1,0,1,6,5,1,3,0,0,0,2,0,0,0,2,0,0,0,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,6.558030163,0,-8.277347884,-0.170880575,0,-17.27496233,3.90977403,0.348912037,0,0,35.81739859,0,81.33907596,0,0,0,5,0,5,1,0,3,1,0,0,0,0,0,1.191511716,-1.940434146,-0.170880575,0.769535935,0.348912037,13.55651266,-6.135239276,0,0,0,1.474729899,0,-1.22837963,-0.170880575,-5.004483773,0,0,0,0,12.1026918,0,13.55651266,18,42,0,108,0,16,0,102,0,0,48,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,18,8,1,0,6,3,5,0,0,6,14,8,0,12,0,0,0,0,6,0,0,0,0,12,11,8,0,18,0,3,5,0,0,1,0,0,9,7,9,0,0,0,0,0,18,0,12,0,0,11,4,7,0,12,0,0,2,0,2,0,0,2,4,0,12,0,0,0,0,0,6,0,2,1,2,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.459431619,1.164601511,95.99,95.99,2.130600058,-3.94364193,222.3520267,54.03225205,354.7009967,3.697266141
9,O=C(NC1CCC(NC(=O)C(F)(F)C(F)F)CC1)C(F)(F)C(F)F,Train,0,7.221657604,10,26,4,2,14,2,2,0,12,36.84210526,31.57894737,5.263157895,5.263157895,21.05263158,10,0,1,1,0,1,6,0,1,0,0,0,94.91746032,8.8564004,4.448447169,5.342796345,2.143517239,6.384995879,2.548307902,3.310865915,24.7143864,21.09447707,-12.5,2,8,0,6,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,12,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,8,0,2,0,0,0,2,0,0,0,0,0,-0.292639834,0,0,-10.1748302,-4.316260655,0,0,-9.713519833,3.42604164,0,0,0,22.09365526,0,99.14422028,0,4,0,0,4,2,0,0,2,0,0,0,0,0,-0.073159958,0,-2.158130328,0,1.71302082,0,12.00902961,-4.856759916,0,-0.073159958,0,0,-0.911216669,-2.158130328,0,-4.856759916,0,0,0,0,11.04682763,0,12.77702546,5,18,0,96,0,9,0,112,0,0,224,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,4,2,0,0,0,10,6,2,0,12,0,2,0,0,4,6,4,0,4,0,0,0,0,4,0,0,4,8,10,2,4,0,4,0,0,0,0,4,0,0,4,0,0,4,0,12,0,1,0,0,0,0,0,0,6,2,2,0,16,0,0,0,0,0,0,0,2,0,0,12,0,0,2,0,0,0,0,2,2,2,0,4,0,0,0,4,0,0,0,2,0,4,0,0,4,1,0,2,0,2,0,8,0,0,0,0,4,0,1.584962501,0.542939254,58.2,58.2,2.330800027,-3.351543184,205.9922616,36.02150137,342.6245847,3.680423215
11,Cc1nn(CCc2nn[nH]n2)c2nc(C(F)(F)F)cc(C(F)(F)F)c12,Train,0,6.409335938,7,34.5,3,0,9,7,0,0,13,26.47058824,35.29411765,20.58823529,0,17.64705882,5,9,4,1,2,2,14,2,1,1,0,121.3376566,64.66189921,8.748805349,7.197446139,5.135764846,2.372511887,8.495963524,4.22390099,3.446190117,21.49883121,26.26122412,-4.75,3,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,1,1,11,1,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,3,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1.275164399,0.043132559,0,0.000535872,0,0,-2.886891114,-0.961336215,-10.00164061,0,0,17.8623192,0.977685185,0,0,78.47855121,0,2,0,1,0,0,4,2,0,0,0,1,0,0,-0.060038738,0.000535872,0,-1.631448045,0,0,12.9396872,-5.022952531,1.275164399,0.103171296,0,0.000535872,0,0,0.240114717,-4.978688075,0,0,3.887183485,0,0,0,13.21982987,77,0,0,315,0,0,0,0,0,0,66,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,7,0,0,4,0,12,14,0,0,6,4,0,0,0,6,13,0,0,9,0,1,0,0,3,0,0,0,0,11,12,0,0,15,0,2,0,0,0,0,0,0,0,4,0,0,12,0,4,0,12,0,0,0,0,7,6,0,0,9,0,4,0,3,0,0,0,10,0,0,9,0,2,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,4,-0.040219848,85.17,85.17,2.051219925,-4.158358881,173.0757168,16.54048532,335.5149502,4.321862818
13,COc1ccc(NC(=O)NC(C(F)(F)F)C(F)(F)F)cc1,Train,0,6.931931599,8,25,3,1,10,2,2,0,10,32.25806452,35.48387097,6.451612903,6.451612903,19.35483871,4,6,1,1,0,1,6,0,1,0,0,0,82.73001443,6.008220487,4.94920918,3.843201054,1.321865392,6.265422723,2.102686804,3.077058779,15.92526479,21.92980499,-5.25,2,1,0,0,0,6,4,2,0,0,0,0,1,0,1,0,2,0,0,0,10,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1.367462674,0,0,5.268273337,-3.941436707,-1.625169596,0.417422892,0,-11.28671018,2.704980946,0,0,0,11.21720388,0,73.40906737,0,0,0,4,1,1,2,0,2,0,0,0,0,1,0,1.258528912,-1.625169596,0.010554611,0.842693531,0,12.23484456,-5.643355088,1.367462674,0,0,1.375607757,-3.941436707,-1.625169596,0.406868281,-5.643355088,0,0,0,0,11.21720388,4.802238719,12.23484456,2,16,0,48,0,7,0,90,0,0,48,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,4,3,0,0,0,10,4,2,0,6,1,2,0,0,6,4,4,0,6,0,0,0,0,6,0,0,0,0,5,5,5,0,6,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,1,6,0,6,0,0,6,2,2,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,2,1,2,0,12,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,3,0.565429302,50.36,50.36,3.309899956,-3.767538655,161.9269959,36.02150137,299.0863787,3.345896643
14,Cn1nc(C(F)(F)F)c(C(=O)Nc2ccc(C(F)(F)F)cc2)c1Cl,Train,0,7.69065079,9,31.5,2,1,8,3,1,1,11,25,40.625,9.375,3.125,21.875,3,7,2,2,0,2,11,1,1,0,0,76.82193362,84.77468087,8.141080093,6.310899355,5.023029178,2.052315821,8.29895419,3.657917166,3.309837193,19.2203538,26.58121671,-3.75,2,0,0,0,0,9,4,2,1,0,0,1,0,0,0,0,2,1,1,0,9,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.117538105,0,0,3.20117465,0,-1.235941043,-4.032734373,0,-9.489716095,2.05946901,0,3.140671401,0.672661995,12.02646507,0,75.99451167,5.657010727,0,0,4,0,1,5,0,1,0,0,1,0,0,0,0.685648266,-1.235941043,-1.486655854,2.05946901,0,12.44603497,-4.918933409,1.117538105,0,0,0.914939059,0,-1.235941043,-0.124033132,-4.570782686,0,0,3.140671401,0,12.02646507,0,12.88546892,8,10,0,114,9,0,0,39,4,0,111,45,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,5,1,0,1,0,14,9,1,0,6,0,1,0,0,6,7,3,0,9,3,0,0,0,3,1,0,0,0,9,2,3,0,12,1,2,2,0,3,0,0,0,0,4,3,0,6,1,0,0,3,0,3,0,0,9,4,1,0,3,2,0,0,3,0,0,0,4,1,0,9,2,0,0,0,0,0,0,5,2,0,0,9,1,0,0,0,0,3,2,0,0,9,1,0,0,0,0,1,0,0,0,6,0,0,6,0,0,0,3.700439718,-0.095148228,46.92,46.92,4.363399908,-5.018272913,149.5793648,18.01075068,340.730897,3.746649313
17,CCC(=O)NC(Nc1sc2c(c1C(=O)OC)CCCC2)(C(F)(F)F)C(F)(F)F,Train,0,7.624703244,10,33.5,6,2,18,2,3,1,12,39.13043478,34.7826087,4.347826087,6.52173913,13.04347826,10,7,3,0,2,1,9,1,1,1,0,65.58864746,85.99424464,9.78892282,7.929341112,7.284023928,4.248036177,10.39516606,5.534419593,3.397644046,33.44635859,27.51335412,-10.5,3,6,0,4,0,4,0,0,1,0,1,0,0,1,0,0,2,0,0,0,11,1,5,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,9,3,0,0,4,0,0,2,1,0,1,1,0,0,0,1,2.106344794,1.509884735,0,0,0,-2.495319875,-0.087491129,0,-16.61979852,2.442078373,0,0,0,23.66661832,0,81.85759023,0,5,0,0,0,2,4,0,2,0,0,0,0,1,-0.596836026,0,-1.455474537,-0.63444161,1.027633929,0,13.64293171,-5.936542304,1.1215963,0.698235231,0,0,0,-1.039845338,0.522423181,-4.746713908,0,0,0,0,12.12551934,4.567239465,13.64293171,2,26,6,36,0,18,14,114,0,30,48,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,4,2,0,0,17,6,3,3,6,1,1,1,1,6,6,7,4,6,0,0,0,0,12,0,0,0,0,16,4,6,3,12,0,0,3,1,0,0,2,0,9,7,7,2,12,0,0,0,0,0,6,6,0,14,2,7,1,24,0,0,2,0,0,1,0,3,5,1,12,0,0,0,0,0,12,0,8,0,4,0,18,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0.423701776,67.43,95.67,4.172500044,-4.922833409,187.0719229,36.02150137,434.9833887,3.814528652
18,CCc1ccc(/C=N/NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Train,0,6.863814493,15,37,8,2,11,2,1,0,16,25.58139535,37.20930233,4.651162791,2.325581395,30.23255814,8,8,1,1,0,1,6,0,1,0,0,0,140.3516928,13.19852817,6.923385061,6.163985739,1.987159311,7.180410318,2.703706756,3.688490906,35.18607092,42.19136868,-11,2,6,0,0,0,6,4,2,1,0,0,0,0,0,0,5,1,0,0,0,16,1,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,5,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1.759387767,0.571124892,0.537811027,5.53681069,0,-3.477103385,0.829109541,0,-46.10283038,0.611208152,0,0,0,11.17949693,0,168.3443313,0,1,1,4,0,1,2,0,1,0,1,0,0,0,0.571124892,1.286865715,-3.477103385,0.054869513,0.611208152,0,11.98393403,-8.073659213,1.759387767,0.571124892,0.537811027,1.481539631,0,-3.477103385,0.774240029,-6.89780095,0,2.710653463,0,0,11.17949693,0,13.55486933,0,5,0,161,0,0,0,74,0,0,326,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,0,16,4,1,0,23,0,1,0,0,8,5,1,0,19,0,0,1,0,2,0,0,2,22,9,6,2,0,15,0,0,0,0,4,0,0,2,18,5,2,0,13,0,0,0,4,0,2,0,14,8,4,3,0,11,0,0,0,4,0,0,2,4,3,0,11,0,0,0,4,0,2,0,8,2,1,0,12,0,0,0,5,0,3,0,1,0,14,0,0,3,0,0,8,0,1,0,17,0,0,0,0,0,0,3.169925001,-0.092924936,41.46,41.46,5.43789994,-6.037070741,254.1776356,17.88822857,419.6843854,4.148570798
22,COc1ccc(C(N)=O)cc1NC(=O)CC(O)(C(F)(F)F)C(F)(F)F,Train,0,6.839488933,11,30,5,2,12,2,4,0,12,32.43243243,35.13513514,5.405405405,10.81081081,16.21621622,5,8,1,1,0,1,6,0,1,0,0,0,99.73318903,8.420088786,5.829110743,4.860058762,1.746853137,8.851215015,2.839517695,3.226474716,22.30823449,29.26175009,-6,2,1,1,0,0,6,3,3,1,0,1,0,0,0,1,0,2,0,0,0,12,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,1,2,1,0,0,2,0,0,0,0,1.107834428,-2.343300265,0,3.187805847,0,-2.766379165,-0.727397566,0,-17.51179203,1.724884259,0,0,0,22.6893551,0,75.473691,0,1,0,3,0,2,3,0,1,0,0,0,1,1,-2.343300265,0.902081444,-1.808268141,-0.3930565,1.724884259,0,12.5789485,-6.137153788,1.107834428,-2.343300265,0,1.165267818,0,-0.958111025,-0.151937831,-5.23748445,4.990938213,0,0,8.985861494,11.62787887,4.771832011,12.5789485,5,38,0,90,0,38,0,156,0,0,48,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,3,5,0,0,0,14,4,7,0,6,0,2,0,0,6,5,7,0,12,0,0,1,0,0,0,0,6,0,8,7,8,0,6,0,0,1,0,0,1,0,0,9,1,6,0,0,0,1,1,6,1,6,0,0,10,1,7,0,6,0,0,1,0,1,0,0,2,6,0,12,0,0,1,0,2,0,0,6,1,4,0,12,0,0,0,0,0,6,2,2,0,18,0,1,0,1,0,0,0,0,0,0,0,0,6,0,6,0,3.169925001,1.973184598,101.65,101.65,1.97839991,-3.027163491,244.6417029,93.59128132,358.255814,3.634405938
26,CC(C)CC(=O)NCCNC(=O)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,Train,0,6.864331761,10,35,10,2,22,2,4,0,12,42.30769231,34.61538462,3.846153846,7.692307692,11.53846154,10,8,1,1,0,1,6,0,1,0,0,0,123.1861139,7.935482326,6.027904112,6.669496022,2.143069636,9.676824229,3.851074708,3.960688011,29.31260306,30.11180231,-9,4,1,1,0,0,6,3,3,1,0,1,1,0,0,2,0,2,0,0,0,12,2,1,1,0,4,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,7,11,0,0,2,0,0,2,2,0,0,2,0,0,0,0,3.689837559,-3.058261643,0,2.723476137,0.131822971,-1.140057123,-1.289325641,0,-9.317490911,4.897501011,0,0,0,23.84323179,0,74.09196138,0,5,0,3,1,2,3,0,2,0,0,0,0,2,-1.693160254,0.85131472,-0.900239145,-0.478678681,2.352071641,0,12.29300256,-4.68065668,1.844918779,0.279728575,0,0.95869561,0.131822971,-0.239817978,-0.373083473,-4.636834231,0,0,0,0,12.30299492,4.578046577,12.4043179,3,38,0,108,0,40,0,186,0,0,111,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,4,6,0,0,0,16,4,8,0,6,0,2,0,0,6,3,10,0,0,0,1,0,0,0,0,0,6,0,15,6,9,0,6,0,0,1,0,0,1,0,0,0,4,3,0,12,0,0,3,0,2,0,0,0,11,5,8,0,15,0,0,0,0,0,0,0,5,6,0,9,0,0,1,3,1,3,0,12,2,4,0,3,0,0,1,3,0,9,2,6,0,12,0,0,0,1,0,10,1,4,0,9,0,0,3,1,0,0,3.169925001,0.375014126,76.66,76.66,3.460900031,-4.047942965,198.0718108,36.02150137,475.282392,3.547174059
